Year,Numbers
1999,944
2000,966
2001,972
2002,929
2003,918
2004,931
2005,963
2006,968
2007,964
2008,970
2009,944
2010,1001
2011,961
2012,947
2013,884
2014,866
2015,845
2016,833
2017,876
2018,872
2019,913
